subj,random,rep_arrow,rep_no_arrow
1,0.3333333333333333,0.75,0.875
2,0.6875,0,0.7142857142857143
3,0.5,0.5,0.75
4,0.6875,0.875,0.5
5,0.5,0.25,0.875
6,0.3125,0.5,0.5
7,0.625,0.25,0.25
8,0.4375,0.75,0.625
9,0.5,0.25,0.75
10,0.625,0.14285714285714285,0.75
11,0.375,0.125,0.5714285714285714
12,0.625,0.8571428571428571,0.625
14,0.625,0.875,0.875
15,0.5,1,0.625
16,0.25,0.625,0.625
17,0.3125,0.125,0.875
18,0.5,0.625,0.375
19,0.8125,0.625,0.625
20,0.4375,0.75,0.375
21,0.375,0.75,0.625
22,0.6875,0.625,0.625
23,0.5625,0.375,0.5
24,0.5,0.375,0.625
25,0.5,0.25,0.375
26,0.375,0.625,0.625
27,0.6875,0.25,0.42857142857142855
28,0.5625,0.75,0.375
29,0.5,0.25,0.625
30,0.3333333333333333,0.5,0.6
31,0.5625,0.75,1
32,0.75,0.875,1
33,0.4,0.75,0.5
34,0.5,0.75,0.625
35,0.4375,0.75,0.5
